ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-08-20,0.991778774,-1.0882955859691037,6.762880584124585,0.991778774,0.991778774,1.914143929717518,1.914143929717518,1.914143929717518,1.914143929717518,1.914143929717518,1.914143929717518,0.0,0.0,0.0,2.905922703717518
2017-08-27,1.0880683728679246,-1.9180989829507786,5.823719646471848,1.0880683728679246,1.0880683728679246,0.8205872436723806,0.8205872436723806,0.8205872436723806,0.8205872436723806,0.8205872436723806,0.8205872436723806,0.0,0.0,0.0,1.908655616540305
2017-09-03,1.1843579717358492,-2.487504729233966,5.080232991473981,1.1843579717358492,1.1843579717358492,0.11751096956372241,0.11751096956372241,0.11751096956372241,0.11751096956372241,0.11751096956372241,0.11751096956372241,0.0,0.0,0.0,1.3018689412995716
2017-09-10,1.2806475706107154,-2.154588018435323,5.384110021129353,1.2806475706107154,1.2806475706107154,0.08882391337329167,0.08882391337329167,0.08882391337329167,0.08882391337329167,0.08882391337329167,0.08882391337329167,0.0,0.0,0.0,1.3694714839840072
2017-09-17,1.3769371694837644,-2.0738863230416156,5.83836642762492,1.3769371694837644,1.3769371694837644,0.5188270418724976,0.5188270418724976,0.5188270418724976,0.5188270418724976,0.5188270418724976,0.5188270418724976,0.0,0.0,0.0,1.895764211356262
2017-09-24,1.4732267683568137,-1.3029077715527093,6.53804379220707,1.4732267683568137,1.4732267683568137,0.9920726706886271,0.9920726706886271,0.9920726706886271,0.9920726706886271,0.9920726706886271,0.9920726706886271,0.0,0.0,0.0,2.465299439045441
2017-10-01,1.5695163672106094,-1.5436626414401087,6.562963143026669,1.5695163672106094,1.5695163672106094,1.0842256079731956,1.0842256079731956,1.0842256079731956,1.0842256079731956,1.0842256079731956,1.0842256079731956,0.0,0.0,0.0,2.653741975183805
2017-10-08,1.6658059660644051,-1.4081743224445158,6.14485890952191,1.6658059660644051,1.6658059660644051,0.5314331832181194,0.5314331832181194,0.5314331832181194,0.5314331832181194,0.5314331832181194,0.5314331832181194,0.0,0.0,0.0,2.1972391492825247
2017-10-15,1.7620955648888326,-2.583968304045039,5.253179739880513,1.7620955648888326,1.7620955648888326,-0.5413220594362214,-0.5413220594362214,-0.5413220594362214,-0.5413220594362214,-0.5413220594362214,-0.5413220594362214,0.0,0.0,0.0,1.2207735054526112
2017-10-22,1.8583851637034936,-3.969109608701614,4.109981685208473,1.8583851637034936,1.8583851637034936,-1.578251416148216,-1.578251416148216,-1.578251416148216,-1.578251416148216,-1.578251416148216,-1.578251416148216,0.0,0.0,0.0,0.28013374755527765
2017-10-29,1.9546747625181549,-3.9856339722961542,3.9171973398007736,1.9546747625181549,1.9546747625181549,-1.961625438490968,-1.961625438490968,-1.961625438490968,-1.961625438490968,-1.961625438490968,-1.961625438490968,0.0,0.0,0.0,-0.00695067597281307
2017-11-05,2.050964361364286,-3.178780323878048,4.730314153968059,2.050964361364286,2.050964361364286,-1.519686405998516,-1.519686405998516,-1.519686405998516,-1.519686405998516,-1.519686405998516,-1.519686405998516,0.0,0.0,0.0,0.53127795536577
2017-11-12,2.147253960210417,-2.6032832817139266,5.24767973276296,2.147253960210417,2.147253960210417,-0.6214909279991094,-0.6214909279991094,-0.6214909279991094,-0.6214909279991094,-0.6214909279991094,-0.6214909279991094,0.0,0.0,0.0,1.5257630322113076
2017-11-19,2.243543559088536,-1.3994628300436385,6.594064608095177,2.243543559088536,2.243543559088536,0.24816610110221454,0.24816610110221454,0.24816610110221454,0.24816610110221454,0.24816610110221454,0.24816610110221454,0.0,0.0,0.0,2.4917096601907507
2017-11-26,2.3398331580161993,-0.8543043469731118,6.9271243220317125,2.3398331580161993,2.3398331580161993,0.8849624171721765,0.8849624171721765,0.8849624171721765,0.8849624171721765,0.8849624171721765,0.8849624171721765,0.0,0.0,0.0,3.224795575188376
2017-12-03,2.436122756943862,-0.4603178154832983,7.599642953432281,2.436122756943862,2.436122756943862,1.2395934947054206,1.2395934947054206,1.2395934947054206,1.2395934947054206,1.2395934947054206,1.2395934947054206,0.0,0.0,0.0,3.6757162516492823
2017-12-10,2.5324123559117138,-0.2429521599836898,7.378770561380414,2.5324123559117138,2.5324123559117138,1.0511734607537442,1.0511734607537442,1.0511734607537442,1.0511734607537442,1.0511734607537442,1.0511734607537442,0.0,0.0,0.0,3.583585816665458
2017-12-17,2.628701954879566,-1.0519878682782609,6.33845693809995,2.628701954879566,2.628701954879566,-0.04817064757466885,-0.04817064757466885,-0.04817064757466885,-0.04817064757466885,-0.04817064757466885,-0.04817064757466885,0.0,0.0,0.0,2.580531307304897
2017-12-24,2.72499155380883,-2.885706983405114,5.043067280268544,2.72499155380883,2.72499155380883,-1.8754762854646367,-1.8754762854646367,-1.8754762854646367,-1.8754762854646367,-1.8754762854646367,-1.8754762854646367,0.0,0.0,0.0,0.8495152683441933
